time,temp_2m
1988-01-01,26.401594
1988-02-01,26.743563
1988-03-01,26.979958
1988-04-01,26.792603
1988-05-01,26.315971
1988-06-01,26.285856
1988-07-01,25.988472
1988-08-01,25.855278
1988-09-01,25.908749
1988-10-01,26.066622
1988-11-01,26.319944
1988-12-01,26.158358
1989-01-01,26.232662
1989-02-01,26.462816
1989-03-01,26.50225
1989-04-01,26.5449
1989-05-01,26.08438
1989-06-01,26.054117
1989-07-01,25.99204
1989-08-01,26.039198
1989-09-01,26.232382
1989-10-01,26.14322
1989-11-01,26.477812
1989-12-01,26.140764
1990-01-01,26.326506
1990-02-01,26.57893
1990-03-01,26.465296
1990-04-01,26.401947
1990-05-01,26.467073
1990-06-01,26.273914
1990-07-01,25.904339
1990-08-01,26.069601
1990-09-01,26.041769
1990-10-01,25.823923
1990-11-01,26.068203
1990-12-01,25.868292
1991-01-01,26.46054
1991-02-01,26.511694
1991-03-01,26.721653
1991-04-01,26.21888
1991-05-01,26.149391
1991-06-01,26.181906
1991-07-01,25.574446
1991-08-01,25.445686
1991-09-01,25.816431
1991-10-01,25.991953
1991-11-01,25.99238
1991-12-01,26.026741
1992-01-01,26.087252
1992-02-01,26.266237
1992-03-01,26.244373
1992-04-01,26.121252
1992-05-01,26.485838
1992-06-01,26.05823
1992-07-01,25.868523
1992-08-01,25.809254
1992-09-01,25.947409
1992-10-01,25.954535
1992-11-01,26.29596
1992-12-01,26.001331
1993-01-01,26.126514
1993-02-01,26.307873
1993-03-01,26.42344
1993-04-01,26.561893
1993-05-01,26.143654
1993-06-01,25.98864
1993-07-01,25.778187
1993-08-01,25.599249
1993-09-01,25.694983
1993-10-01,25.765102
1993-11-01,26.012184
1993-12-01,25.80597
1994-01-01,25.918468
1994-02-01,26.256384
1994-03-01,26.370989
1994-04-01,26.261621
1994-05-01,26.231096
1994-06-01,25.810534
1994-07-01,25.72735
1994-08-01,25.863274
1994-09-01,25.801352
1994-10-01,26.11252
1994-11-01,26.475685
1994-12-01,26.413933
1995-01-01,26.281841
1995-02-01,26.458508
1995-03-01,26.67389
1995-04-01,26.861788
1995-05-01,26.437197
1995-06-01,26.27458
1995-07-01,26.028698
1995-08-01,26.072733
1995-09-01,25.832651
1995-10-01,26.090734
1995-11-01,26.308561
1995-12-01,26.248466
1996-01-01,26.283203
1996-02-01,26.220123
1996-03-01,26.206083
1996-04-01,26.308943
1996-05-01,26.438183
1996-06-01,26.356054
1996-07-01,26.027678
1996-08-01,25.904987
1996-09-01,25.729498
1996-10-01,26.170795
1996-11-01,26.133558
1996-12-01,26.160034
1997-01-01,26.13888
1997-02-01,26.199991
1997-03-01,26.077759
1997-04-01,26.195866
1997-05-01,26.506706
1997-06-01,26.024397
1997-07-01,25.783379
1997-08-01,25.681963
1997-09-01,25.569206
1997-10-01,26.265215
1997-11-01,26.238049
1997-12-01,25.78997
1998-01-01,26.105213
1998-02-01,26.317142
1998-03-01,26.544119
1998-04-01,26.582493
1998-05-01,26.936552
1998-06-01,26.49484
1998-07-01,26.090057
1998-08-01,26.058277
1998-09-01,26.098238
1998-10-01,26.511475
1998-11-01,26.339212
1998-12-01,26.442848
1999-01-01,26.333944
1999-02-01,26.714014
1999-03-01,26.651428
1999-04-01,26.602499
1999-05-01,26.499746
1999-06-01,26.27476
1999-07-01,25.700134
1999-08-01,25.681921
1999-09-01,25.90299
1999-10-01,25.900549
1999-11-01,25.798817
1999-12-01,25.811552
2000-01-01,25.794336
2000-02-01,26.194082
2000-03-01,26.426493
2000-04-01,26.474335
2000-05-01,26.391026
2000-06-01,26.25722
2000-07-01,26.224329
2000-08-01,25.932438
2000-09-01,26.136364
2000-10-01,26.109777
2000-11-01,26.076807
2000-12-01,26.37002
2001-01-01,26.442976
2001-02-01,26.473402
2001-03-01,26.436182
2001-04-01,26.397953
2001-05-01,26.848957
2001-06-01,26.388998
2001-07-01,26.20114
2001-08-01,26.029257
2001-09-01,26.533812
2001-10-01,26.495049
2001-11-01,26.561802
2001-12-01,26.303736
2002-01-01,26.123177
2002-02-01,26.18732
2002-03-01,26.680254
2002-04-01,26.614979
2002-05-01,26.696852
2002-06-01,26.639261
2002-07-01,26.011234
2002-08-01,25.661205
2002-09-01,25.691149
2002-10-01,25.901745
2002-11-01,25.819344
2002-12-01,25.753366
2003-01-01,26.363676
2003-02-01,26.298548
2003-03-01,26.734392
2003-04-01,26.892275
2003-05-01,26.844719
2003-06-01,26.530745
2003-07-01,26.118391
2003-08-01,26.135899
2003-09-01,26.091393
2003-10-01,26.044006
2003-11-01,25.944662
2003-12-01,25.83197
2004-01-01,26.249744
2004-02-01,26.53284
2004-03-01,26.389547
2004-04-01,26.457859
2004-05-01,25.93169
2004-06-01,25.765532
2004-07-01,25.523724
2004-08-01,25.697283
2004-09-01,25.83344
2004-10-01,25.798712
2004-11-01,26.071829
2004-12-01,26.039364
2005-01-01,26.325325
2005-02-01,26.52118
2005-03-01,26.657093
2005-04-01,26.592506
2005-05-01,26.32294
2005-06-01,26.278605
2005-07-01,26.446627
2005-08-01,26.2637
2005-09-01,26.144567
2005-10-01,26.480175
2005-11-01,26.476562
2005-12-01,26.650263
