Split,MSE score,RMSE score,MAE score,R2 score
Train,0.0005160038899042812,0.022715719004783478,0.01854120806037015,0.9994839961100958
Val,0.006845841867436447,0.08273960277543305,0.06554947716963455,0.9949701407857678
Test,0.010157572701004328,0.10078478407480133,0.07769885672037398,0.9915196948752232
