weight,importance,feature
2.007515776617487,0.17647119126775546,specific_humidity
-1.3432488903624429,0.11807863958646117,humidity
-0.4918643324617167,0.04323746079738897,humidity_roll3
0.3429774222408577,0.030149518616869486,specific_humidity_lag3
-0.3283396545643176,0.02886278188011911,specific_humidity_lag12
0.32809440377988786,0.028841223046763096,specific_humidity_lag2
0.304035693424342,0.026726335917974152,humidity_lag1
-0.2663261668263974,0.023411470272387564,humidity_lag3
0.2635194329387942,0.02316474360727937,humidity_lag12
-0.2581961669613273,0.022696800540818633,pressure_lag1
0.24230291149495464,0.021299699826621873,sea_level_pressure_lag1
0.19086574561885916,0.016778102515498335,pressure
0.1873187504016922,0.01646630298760165,specific_humidity_lag6
-0.17363885370755838,0.015263768146206173,temp_2m_lag6
0.17185388628901252,0.015106860125659673,thermal_rad_lag2
0.15612666280337428,0.013724354495481692,sea_level_pressure_lag2
-0.14180467317180412,0.012465376309085497,temp_max_24h_lag3
-0.13178865626007474,0.011584915763391039,solar_rad_lag12
0.12536515214070065,0.01102025597976072,temp_min_24h_lag12
0.12100442983978241,0.01063692556303666,solar_rad_lag2
0.11844745025307546,0.0104121536140591,sea_level_pressure_lag6
-0.1163073142295511,0.010224024405838018,temp_2m_lag2
-0.1138361153466956,0.010006793031720577,pressure_lag2
-0.1128126641971503,0.009916826294886796,wind_u
-0.11199298642555533,0.009844772309312251,temp_min_24h_lag3
0.11192350322884592,0.009838664371013973,month_cos
-0.11175101984453284,0.009823502174702415,humidity_lag2
-0.10641289988255154,0.00935425336490812,specific_humidity_lag1
-0.10601887599109719,0.009319616593270855,temp_min_24h_lag2
-0.1015517802329895,0.008926935390401979,humidity_lag6
-0.0970133974885572,0.008527987686644234,pressure_lag12
-0.09300159210937647,0.008175328901769684,wind_v_lag3
0.09296720166805317,0.00817230580116981,sea_level_pressure_lag12
-0.08366079987449604,0.007354224155160246,pressure_lag6
-0.07929570107509853,0.00697050902121044,sea_level_pressure
0.0757266642915887,0.006656771923748801,temp_2m_lag3
-0.07532282490674957,0.0066212723186381125,pressure_roll3
-0.07035272454596919,0.0061843743666503935,thermal_rad_lag12
0.06815193809947484,0.005990913667380985,temp_min_24h_lag6
-0.06744492713682948,0.005928763686658237,wind_speed_lag12
0.06716105276676554,0.0059038096370616884,solar_rad
0.06486147764576611,0.005701664893922374,temp_max_24h_lag1
-0.062137870435013065,0.005462245500747353,month_sin
0.061728578583039706,0.00542626659510925,temp_2m_lag12
0.06036070448406905,0.005306023270219229,precip_roll6
-0.056743502939530566,0.004988052237037207,wind_v
0.055910858142811326,0.004914858381780179,wind_v_lag2
0.05498500727160399,0.004833471222545226,solar_rad_roll3
-0.0520376943009245,0.004574386916940877,solar_rad_roll12
0.05070770683355175,0.004457474026157067,thermal_rad
0.05025984094540836,0.004418104259936837,pressure_roll6
-0.05003609615362692,0.004398435916402244,solar_rad_lag1
0.04880997299752621,0.004290653244645289,solar_rad_roll6
-0.04641472951490777,0.004080098749543783,precip_lag12
-0.04469414191908638,0.003928850053891326,precip_roll12
-0.044352824352549836,0.0038988464453175472,thermal_rad_lag6
-0.04326078861947952,0.003802850763008847,wind_u_lag3
0.0413430870455781,0.0036342747123575075,wind_speed
-0.04133453059690029,0.0036335225555332463,thermal_rad_lag1
0.04095018970975389,0.0035997369708829926,precip
-0.04030001635813596,0.0035425833149929807,wind_v_lag1
0.03839081716423687,0.003374754668245061,evaporation_lag3
0.03733403485195741,0.003281857946968542,temp_max_24h_lag6
0.03667986942748347,0.0032243533668861865,sea_level_pressure_lag3
0.036458558576551336,0.0032048989795486786,solar_rad_lag3
0.035983066946221776,0.003163100765348097,solar_rad_lag6
-0.03547407517237523,0.003118357712405554,precip_lag1
0.03433229784981631,0.003017989482864674,precip_lag6
-0.03255039543666882,0.0028613508924069404,temp_2m_lag1
0.03182149216124819,0.002797276462292533,evaporation_lag12
-0.031380365749413164,0.0027584991314725665,cloud_cover_lag2
0.03134677633707503,0.002755546445531895,wind_speed_lag1
0.030938710459336605,0.002719675309474595,humidity_roll6
0.030346402289072955,0.002667608307251495,precip_lag2
-0.03013158826875094,0.0026487250254816678,wind_speed_lag2
-0.03006952274188579,0.0026432691393610576,pressure_lag3
-0.02950237344439982,0.0025934137343277502,pressure_roll12
0.025914572925321955,0.002278027205859445,wind_u_lag1
0.022297847784832597,0.0019600980510980333,cloud_cover
-0.02038132134301919,0.0017916253007354802,humidity_roll12
0.018267632320688565,0.0016058209229642885,evaporation_lag2
-0.018037455275350722,0.001585587150524551,wind_u_lag12
0.017997077574027243,0.001582037738292676,temp_max_24h_lag12
-0.016606015512964145,0.0014597560696241471,temp_min_24h_lag1
0.016313151887206168,0.0014340118171911303,wind_u_lag2
0.014695042483892182,0.0012917714934386037,precip_roll3
-0.013657866380638529,0.0012005982610149885,cloud_cover_lag1
-0.013318982824281567,0.0011708086147327907,evaporation_lag6
0.012087625454257234,0.0010625658280530978,thermal_rad_lag3
-0.010574873140919205,0.0009295869464237751,wind_speed_lag3
0.010053410331473056,0.0008837476238856256,wind_speed_lag6
0.00737630105897108,0.0006484156439455271,cloud_cover_lag6
0.007137737845401504,0.0006274446832279871,cloud_cover_lag12
0.006812631595751628,0.0005988661346394558,wind_v_lag12
0.006541560617903397,0.0005750375705324314,evaporation_lag1
-0.005217558259239002,0.00045865080227076247,precip_lag3
0.003223544228100006,0.0002833664854159184,wind_v_lag6
0.003006218585888565,0.00026426241887717234,temp_max_24h_lag2
0.0027223622492032473,0.00023930995450941475,wind_u_lag6
-0.0013330845662458124,0.0001171851420577316,evaporation
0.000998915206318396,8.780989842655243e-05,cloud_cover_lag3
